sample_id,risk_score,risk_group,z_CLCN5,z_ARHGEF5,z_ITGB2,z_TRIM32,z_SAT1,z_ACOX2
BA3130R,0.367149820505039,high_risk,1.07210167374296,-0.674822674159249,0.906477625274891,0.84712031675911,1.32684051646221,1.30106468334138
BA3164R,0.364521791916259,high_risk,1.40562634763304,1.16181370273397,-0.235491873439575,1.69236611973952,-1.76772113104133,-0.368049815354623
BA2269R,0.36352473227378,high_risk,0.777792282329463,1.67232521688649,-0.143860295424414,-0.963552077409283,1.53266550524281,1.52030236843249
BA3027R,0.360334341753843,high_risk,0.64436892824664,0.362977386582185,0.808399367590415,0.540546718080742,1.59153982766557,-0.200734590763124
BA2455R,0.359950079543689,high_risk,1.11339498013485,0.0430346180612005,0.868796699488059,0.690511749914961,0.179971158704977,0.964963572391938
BA2621R,0.359649294713982,high_risk,-0.17454971019259,2.22520544585357,1.0845600230214,-0.464472439672536,1.06711207199775,0.709403765987943
BA2662R,0.359450206737276,high_risk,0.906003659359299,0.434302249166574,1.09196136870356,0.752984872473074,0.0433660200298662,-0.142610205181113
BA2406R,0.353027562180531,high_risk,1.10722041464812,-0.0333676815313977,1.12967495728686,-0.211838103969571,0.614565364747634,1.97667124828718
BA2415R,0.351910936037695,high_risk,0.480764872469988,1.18468873849152,1.10690340042823,0.41463679715326,0.140291006600071,-0.0824098426495389
BA2054R,0.349113337002744,high_risk,0.775692092071711,0.476804471895319,1.00602025180613,-0.487305654704503,1.2376831296683,1.51032886874972
BA2456R,0.34716765799997,high_risk,0.41265442953521,0.650028613986436,1.1528938186015,0.246910738362656,1.281302086907,0.109845102826188
BA2311R,0.34523129786811,high_risk,1.4788897137284,-0.768918820245188,1.62001441976198,-0.529886517327653,0.847948960642399,0.88635816292509
BA2174R,0.34413914897073,high_risk,0.587830681753329,1.01003733328774,0.938773302462402,0.0101005844401694,0.622733079731905,0.326108661768374
BA3347R,0.342585790474514,high_risk,0.853556890934143,-0.210011456253278,1.681169819153,0.18538037971172,0.734392176556646,0.440006673133133
BA2033R,0.338970905473355,high_risk,0.232227794408457,1.5568748859457,0.663513043099593,-0.0711389101447576,1.55190006201098,-1.15016214777854
BA2461R,0.338186248965944,high_risk,0.442866338820943,1.42823126136271,0.951931316523135,0.377165153009582,0.269269381850387,-1.27368630360621
BA2098R,0.337171790545195,high_risk,1.13134411267297,-0.445978330098797,1.31179352922159,0.329492265818901,0.325964141377238,1.34570285554139
BA2723R,0.334337783790494,high_risk,-0.034722556686165,1.71396539631136,-0.326627322145095,0.649079404310658,1.6983631277814,1.00903688787683
BA2283R,0.329020977865168,high_risk,1.20940697641556,0.00276494732881011,0.932246493421108,0.699471395558634,-0.275471422129962,0.00115883297006731
BA3271R,0.3280332201674,high_risk,0.444602576303418,0.989178297702104,0.919295191170588,0.335416824962852,0.365210241224764,0.5052396854962
BA2559R,0.327403105538191,high_risk,1.04299813978361,-0.160849451367666,0.41841722241996,0.388543345843619,1.281302086907,0.799258315744658
BA2898R,0.323558462592892,high_risk,0.943157495092631,0.466279970229207,0.808399367590415,0.767564026412031,-0.258829394894846,-0.288233561255508
BA2816R,0.321816974677987,high_risk,2.24496143782679,-1.32828516793888,-0.176039753484012,0.863667365620614,-0.113562572683685,1.66990092330518
BA3454R,0.320753098723128,high_risk,1.23101724485542,0.616139264535946,0.679430040407983,1.50397402455803,-1.86002043310106,-0.963508811751614
BA2182R,0.318826357149187,high_risk,0.743740870758461,1.09015034298426,0.814311190587355,0.67603098928163,-0.792172231862995,-0.277509940246217
BA3403R,0.317766512128441,high_risk,1.57819304413161,-0.0255616518661526,0.674102912944671,0.741667457284446,-1.36887182335935,0.727196654734451
BA2903R,0.317368616887525,high_risk,-0.221947786644986,1.42493726212079,1.40526450457614,-0.414299763581947,1.59153982766557,0.260136333395918
BA2701R,0.316680366708664,high_risk,0.865756861687714,-0.109693875498775,0.971935808028504,-0.0246489657457516,1.14245515630708,1.08005569211399
