cell_type,n_cells,mean_score,median_score,score_name
Prog-like,3696,0.303371596785636,0.230704291055511,PRFT_score
cDC,849,0.249561490461481,0.150210981273309,PRFT_score
cDC-like,2068,0.191422438841349,0.131551374700465,PRFT_score
Mono-like,2550,0.144511610320774,0.0858916819473931,PRFT_score
Mono,2758,0.102935166776921,0.0263446417460824,PRFT_score
Prog,1709,0.0252385848582293,-0.0326578887735013,PRFT_score
HSC-like,1936,-0.0499751121566433,-0.101514034752115,PRFT_score
HSC,1709,-0.0997772925287498,-0.131907258377571,PRFT_score
unannotated,783,-0.105737658563021,-0.146898083411351,PRFT_score
pDC,225,-0.192882369905582,-0.342727672575969,PRFT_score
ProB,298,-0.198046026382092,-0.344829740081756,PRFT_score
NK,1969,-0.557438516561393,-0.598617145612705,PRFT_score
CTL,1338,-0.574686732145301,-0.589105815662287,PRFT_score
B,520,-0.597817694433585,-0.641774678672249,PRFT_score
T,7105,-0.667674183085259,-0.712933726099599,PRFT_score
Plasma,1146,1.36571954631952,1.34767680371662,Proteostasis_core_score
GMP,918,0.789915877627469,0.727845502555472,Proteostasis_core_score
ProMono-like,1416,0.787267434772025,0.791471348193657,Proteostasis_core_score
ProMono,1146,0.7655028542628,0.823444233374794,Proteostasis_core_score
GMP-like,1823,0.591511522736427,0.556685775166553,Proteostasis_core_score
earlyEry,1117,0.540587423511889,0.504479283455633,Proteostasis_core_score
Prog-like,3696,0.416960715220692,0.329056069437493,Proteostasis_core_score
lateEry,1328,0.309059427068207,0.174414904333297,Proteostasis_core_score
cDC,849,0.17465841810432,0.112160164655505,Proteostasis_core_score
Prog,1709,0.0898882753440382,-0.0486770935744649,Proteostasis_core_score
cDC-like,2068,0.0389162639120826,-0.0722862323972122,Proteostasis_core_score
Mono-like,2550,-0.0237663386433608,-0.0973513551683765,Proteostasis_core_score
Mono,2758,-0.0641731286968255,-0.123696176835906,Proteostasis_core_score
HSC-like,1936,-0.0940208721508418,-0.146600175450452,Proteostasis_core_score
ProB,298,-0.114734559920673,-0.194406069936115,Proteostasis_core_score
pDC,225,-0.118040894329898,-0.140919879328828,Proteostasis_core_score
HSC,1709,-0.136371615722281,-0.158169698125757,Proteostasis_core_score
unannotated,783,-0.152572537237518,-0.154879043820818,Proteostasis_core_score
CTL,1338,-0.511760836503529,-0.464696758261366,Proteostasis_core_score
NK,1969,-0.534726904583553,-0.531436973152442,Proteostasis_core_score
T,7105,-0.749728504917207,-0.797993030004625,Proteostasis_core_score
B,520,-0.77121299519791,-0.813179660784965,Proteostasis_core_score
Prog,1709,0.726555173639696,0.514500184963361,Relapse_resistance_set_score
unannotated,783,0.606275214917246,0.473271617580026,Relapse_resistance_set_score
earlyEry,1117,0.575989511900575,0.465549141273515,Relapse_resistance_set_score
HSC,1709,0.555296265639082,0.464382889749674,Relapse_resistance_set_score
Prog-like,3696,0.451789587218834,0.377103147330366,Relapse_resistance_set_score
GMP,918,0.446917787327867,0.389411828953602,Relapse_resistance_set_score
ProB,298,0.310621204510024,0.359215370579569,Relapse_resistance_set_score
ProMono,1146,0.277498770599652,0.308861673029969,Relapse_resistance_set_score
HSC-like,1936,0.223785112463152,0.305772682507364,Relapse_resistance_set_score
GMP-like,1823,0.162220469803274,0.141394258268762,Relapse_resistance_set_score
ProMono-like,1416,0.142113549104955,0.259485105135478,Relapse_resistance_set_score
cDC,849,-0.00473828655221123,-0.318077321812945,Relapse_resistance_set_score
Plasma,1146,-0.0754465888585716,-0.333947798630613,Relapse_resistance_set_score
lateEry,1328,-0.11662061529675,-0.316721948420375,Relapse_resistance_set_score
Mono-like,2550,-0.176703656964957,-0.345830956049205,Relapse_resistance_set_score
cDC-like,2068,-0.182470189757859,-0.394387995845863,Relapse_resistance_set_score
pDC,225,-0.260489012333023,-0.412354573375298,Relapse_resistance_set_score
Mono,2758,-0.359108001526649,-0.409848708614613,Relapse_resistance_set_score
CTL,1338,-0.379295703219748,-0.362930725013623,Relapse_resistance_set_score
T,7105,-0.398678258488877,-0.369329348239018,Relapse_resistance_set_score
NK,1969,-0.497150038205072,-0.412165451506566,Relapse_resistance_set_score
B,520,-0.55447244442452,-0.417870627879949,Relapse_resistance_set_score
lateEry,1328,0.812772441111877,0.560752637403828,SLC7A11_GPX4_GSH_axis_score
earlyEry,1117,0.611830981614653,0.122358679804571,SLC7A11_GPX4_GSH_axis_score
GMP-like,1823,0.340933803913444,0.0613302699534628,SLC7A11_GPX4_GSH_axis_score
Prog-like,3696,0.253870565658597,0.00599760695504797,SLC7A11_GPX4_GSH_axis_score
ProMono-like,1416,0.21376158168268,0.000176875061700569,SLC7A11_GPX4_GSH_axis_score
ProMono,1146,0.186337123006181,-0.0157497901188695,SLC7A11_GPX4_GSH_axis_score
GMP,918,0.154373950011415,-0.0037690812218267,SLC7A11_GPX4_GSH_axis_score
cDC-like,2068,0.108982224036696,-0.0165532653802226,SLC7A11_GPX4_GSH_axis_score
ProB,298,0.0930048105920172,-0.00387621125667371,SLC7A11_GPX4_GSH_axis_score
Plasma,1146,0.0901075847852515,-0.0137678844742024,SLC7A11_GPX4_GSH_axis_score
cDC,849,0.0622506965543871,-0.0588339191331255,SLC7A11_GPX4_GSH_axis_score
Mono-like,2550,-0.020435223721363,-0.0363187568094719,SLC7A11_GPX4_GSH_axis_score
Prog,1709,-0.0446254508777404,-0.0610122298416796,SLC7A11_GPX4_GSH_axis_score
HSC-like,1936,-0.0498137841639633,-0.0553700480064093,SLC7A11_GPX4_GSH_axis_score
Mono,2758,-0.124700711863339,-0.0972757466373481,SLC7A11_GPX4_GSH_axis_score
pDC,225,-0.210678284702308,-0.164142743387611,SLC7A11_GPX4_GSH_axis_score
HSC,1709,-0.223543349239368,-0.117219788124678,SLC7A11_GPX4_GSH_axis_score
NK,1969,-0.262836437613257,-0.253453482438297,SLC7A11_GPX4_GSH_axis_score
T,7105,-0.27991264089002,-0.196567433934601,SLC7A11_GPX4_GSH_axis_score
unannotated,783,-0.287661621266551,-0.188104161181698,SLC7A11_GPX4_GSH_axis_score
B,520,-0.352095590889643,-0.871361668429315,SLC7A11_GPX4_GSH_axis_score
CTL,1338,-0.356460238642033,-0.874254179370181,SLC7A11_GPX4_GSH_axis_score
unannotated,783,1.44987862438481,1.25038440286996,Stemness_quiescence_set_score
HSC,1709,1.13596663244899,1.15621710880845,Stemness_quiescence_set_score
HSC-like,1936,0.685380874794553,0.309679175478657,Stemness_quiescence_set_score
Prog-like,3696,0.657535518814178,0.296518275635981,Stemness_quiescence_set_score
Prog,1709,0.517488885414697,0.293896652538977,Stemness_quiescence_set_score
earlyEry,1117,0.281821147786951,0.184633032187346,Stemness_quiescence_set_score
GMP-like,1823,0.208279304837586,0.14465767865451,Stemness_quiescence_set_score
Plasma,1146,0.0882962672490319,0.152135462656031,Stemness_quiescence_set_score
GMP,918,-0.114881321302716,-0.580370663347047,Stemness_quiescence_set_score
ProMono-like,1416,-0.160856493574105,-0.149333598713509,Stemness_quiescence_set_score
ProB,298,-0.176132937419821,-0.620433990809312,Stemness_quiescence_set_score
cDC-like,2068,-0.204567119937404,-0.614275815749236,Stemness_quiescence_set_score
Mono-like,2550,-0.223525539258631,-0.61585934647897,Stemness_quiescence_set_score
lateEry,1328,-0.254900830131491,-0.600199987040492,Stemness_quiescence_set_score
Mono,2758,-0.287227367896912,-0.622721312974483,Stemness_quiescence_set_score
cDC,849,-0.305155405794199,-0.607836124114986,Stemness_quiescence_set_score
pDC,225,-0.320956502803961,-0.648409700367942,Stemness_quiescence_set_score
ProMono,1146,-0.34526093572173,-0.609173327842316,Stemness_quiescence_set_score
B,520,-0.409051654293059,-0.620433990809312,Stemness_quiescence_set_score
NK,1969,-0.482194126116889,-0.639260411707257,Stemness_quiescence_set_score
T,7105,-0.485228192207538,-0.628351644457981,Stemness_quiescence_set_score
CTL,1338,-0.499059529540687,-0.629231383752277,Stemness_quiescence_set_score
Mono-like,2550,0.169100714151975,0.150845207206687,risk_score
Mono,2758,0.142645959465077,0.0945634942139687,risk_score
cDC-like,2068,0.116270487430922,0.0395960924814315,risk_score
ProMono-like,1416,0.104829041587363,0.0685441193098731,risk_score
cDC,849,0.0888543350463414,0.0377843031983919,risk_score
ProMono,1146,0.0508411819867145,0.0221696467345437,risk_score
pDC,225,0.0487859509006782,-0.128469924590795,risk_score
NK,1969,-0.0113038041451606,-0.101010933555639,risk_score
lateEry,1328,-0.0263530304417391,-0.128469924590795,risk_score
GMP,918,-0.0355311973311739,-0.0554643056565257,risk_score
earlyEry,1117,-0.0392143289819386,-0.128469924590795,risk_score
B,520,-0.0405207944211088,-0.128469924590795,risk_score
CTL,1338,-0.0429251524834083,-0.128469924590795,risk_score
Plasma,1146,-0.0440268065678391,-0.128469924590795,risk_score
Prog-like,3696,-0.0466762674350937,-0.128469924590795,risk_score
GMP-like,1823,-0.0485642181151286,-0.128469924590795,risk_score
HSC-like,1936,-0.0486091220299507,-0.128469924590795,risk_score
T,7105,-0.0581949431745457,-0.128469924590795,risk_score
unannotated,783,-0.0700404867919178,-0.128469924590795,risk_score
HSC,1709,-0.0711412880627759,-0.128469924590795,risk_score
Prog,1709,-0.0736222008722994,-0.128469924590795,risk_score
ProB,298,-0.0828238119925919,-0.128469924590795,risk_score
