Name,Perturbagen,Perturbation Type,Dose,Tissue,Cell Line,Disease,Timepoint,Data Level,Creation Time,z-score (up),z-score (down),log p-val (Fisher),log p-val (avg),p-value (up),z-score (sum),p-value (down),FDR (up),FDR (down),p-value Bonferroni (up),p-value Bonferroni (down),source_file,import_note
DOSBIO002_A375_24H_O13_BRD-K36984542_10uM,BRD-K36984542,Chemical,10 uM,skin of body,A375,melanoma,24 h,5,2021-05-06,-6.616230879106267,-5.515316890847161,41.18970026028328,17.862803985051052,3.704148099359372e-11,-12.131547769953428,3.490214539603187e-8,2.2795014835393716e-8,0.000009334371420027095,0.000025677710246974073,0.024194690720710232,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
DOSBIO001_MCF7_24H_N15_BRD-K80439608_10uM,BRD-K80439608,Chemical,10 uM,breast,MCF7,breast adenocarcinoma,24 h,5,2021-05-06,-5.275331598502211,-6.844326885328641,41.4204867673603,16.527611057638563,1.3278665611515805e-7,-12.119658483830852,7.729594742045265e-12,0.000010470902265825196,3.369981773023213e-8,0.09204970181886929,0.000005358271019106908,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.B001_HELA_24H_C22_bortezomib_20uM,bortezomib,Chemical,20 uM,uterine cervix,HELA,cervical adenocarcinoma,24 h,5,2021-05-21,-5.203382236350357,-6.907125583705553,41.47114878800853,16.137924388369818,1.9606833556728986e-7,-12.11050782005591,4.976241640974877e-12,0.00001402924699989033,2.5936882324424053e-8,0.13591751124027884,0.000003449605349148399,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A009_HEK293_24H_M24_zidovudine_0.04uM,zidovudine,Chemical,0.04 uM,kidney,HEK293,24 h,5,2021-05-21,-7.821962491867969,-4.251036062415101,43.62274753492587,11.450295156466332,5.329070518200751e-15,-12.07299855428307,0.000021292663607397344,3.240518964275907e-11,0.0007650250752877553,3.694191619274534e-9,1,,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A019_A375_24H_E13_hymecromone_10uM,hymecromone,Chemical,10 uM,skin of body,A375,melanoma,24 h,5,2021-05-22,-5.59696189089738,-6.471073885800103,40.68634856028665,18.32673645320421,2.1872190725247265e-8,-12.068035776697483,9.778022835860156e-11,0.000002698848468067334,1.6613412010198034e-7,0.015162130693602283,0.00006778272100160798,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
CPC016_A375_6H_I11_phenformin_10uM,phenformin,Chemical,10 uM,skin of body,A375,melanoma,6 h,5,2021-05-15,-6.419918531482985,-5.639832055723971,40.59716036781418,18.57118424501258,1.3698775447323897e-10,-12.059750587206956,1.7068506608097778e-8,6.146405580399117e-8,0.000005661313305422249,0.00009496196621716635,0.011832144808332501,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
REP.A011_THP1_24H_M21_bopindolol_1.11uM,bopindolol,Chemical,1.11 uM,blood,THP1,leukemia,24 h,5,2021-05-21,-6.822392949800014,-5.233088367028427,41.038166793019386,16.298193610311422,9.00657326496912e-12,-12.055481316828441,1.670286720045766e-7,7.99422751072416e-9,0.000027411643196887446,0.0000062434916858755685,0.11578678086365257,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
PCLB001_MCF7_24H_I20_MW-SHH-54_2.5uM,MW-SHH-54,Chemical,2.5 uM,breast,MCF7,breast adenocarcinoma,24 h,5,2021-05-20,-7.024353199571736,-4.972094987607289,41.08469375932281,14.919104282104849,2.1647128534141302e-12,-11.996448187179023,6.633518028209551e-7,2.665384406180242e-9,0.0000696841066816985,0.0000015006114206794763,0.45984541999252837,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
CPC017_NPC_24H_I17_methyllidocaine_10uM,methyllidocaine,Chemical,10 uM,connective tissue,NPC,24 h,5,2021-05-07,-6.5583330609469055,-5.432482277990424,40.33253270741695,17.395358908035472,5.469003028224506e-11,-11.99081533893733,5.5705161816632653e-8,3.042692563571951e-8,0.000012871884582905668,0.00003791194934210651,0.038615653748717005,,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
POL001_HEPG2_24H_E06_isosilybin-a_0.04uM,isosilybin-a,Chemical,0.04 uM,liver,HEPG2,carcinoma,24 h,5,2021-05-06,-6.690663135439319,-5.265496824318421,40.305671324409346,16.47394303274274,2.2338353389272925e-11,-11.956159959757741,1.4009356830158026e-7,1.548528164474483e-8,0.000024316867071272067,0.00001548528164474483,0.09711496295017996,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\17_supplementary_in_silico_perturbation_LOCKED_A\drug_reversal_CMap_LINCS\manual_CMap_LINCS_outputs\SigCom_LINCS_PRFT_high_reversal_raw_results.tsv,Real SigCom LINCS exported Reversers row imported without online rerun.
