check_item,category,file_path,status,sha256,required,notes
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S1__phase3C_BeatAML_sample_flow.csv,present,f95707f50b19d8cd9e7cd3a23f256aa868ec5282376753eecf3fefa0d8f6f784,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S1_part1.csv,present,261a984d670f35092be8dabcb04abf20eb312f80481e65f130250a326fb8ca46,true,
Supplementary Table S1,supplementary_table,supplementary_tables/Supplementary_Table_S1_part2.csv,present,f95707f50b19d8cd9e7cd3a23f256aa868ec5282376753eecf3fefa0d8f6f784,true,
Supplementary Table S2,supplementary_table,supplementary_tables/Supplementary_Table_S2.csv,present,accd9226fd4bb56c3dbf35d7124ea97c716fec22cd83292dfef087555383d890,true,
Supplementary Table S2,supplementary_table,supplementary_tables/Supplementary_Table_S2__phase7_gene_sets_used.csv,present,accd9226fd4bb56c3dbf35d7124ea97c716fec22cd83292dfef087555383d890,true,
Supplementary Table S3,supplementary_table,supplementary_tables/Supplementary_Table_S3__phase1_DEG.csv,present,c2518b39035387caa1fa94523a50b67b35ddbdc31f8ed65680f6a693823fb627,true,
Supplementary Table S3,supplementary_table,supplementary_tables/Supplementary_Table_S3__phase1_fix_WGCNA_modules.csv,present,20e7bdb15ec399ee7942ecc008aaf17c900ec2f033310ca92b3983c5f7ab819b,true,
Supplementary Table S3,supplementary_table,supplementary_tables/Supplementary_Table_S3_part1.csv,present,c2518b39035387caa1fa94523a50b67b35ddbdc31f8ed65680f6a693823fb627,true,
Supplementary Table S3,supplementary_table,supplementary_tables/Supplementary_Table_S3_part2.csv,present,20e7bdb15ec399ee7942ecc008aaf17c900ec2f033310ca92b3983c5f7ab819b,true,
Supplementary Table S4,supplementary_table,supplementary_tables/Supplementary_Table_S4.csv,present,8b8139b08f54650f307a27cb710a8f9ba2a1e588f1df015221bb5ab0edfe5d06,true,
Supplementary Table S4,supplementary_table,supplementary_tables/Supplementary_Table_S4__phase1_fix_715_candidates.csv,present,8b8139b08f54650f307a27cb710a8f9ba2a1e588f1df015221bb5ab0edfe5d06,true,
Supplementary Table S5,supplementary_table,supplementary_tables/Supplementary_Table_S5.csv,present,9f59321ec617f6f9fd5bb244e7a73177581ee062b9b4f521d61c0150a2ad44c2,true,
Supplementary Table S5,supplementary_table,supplementary_tables/Supplementary_Table_S5__phase1_33_candidates.csv,present,9f59321ec617f6f9fd5bb244e7a73177581ee062b9b4f521d61c0150a2ad44c2,true,
Supplementary Table S6,supplementary_table,supplementary_tables/Supplementary_Table_S6__phase1_risk_score_formula.txt,present,4aeda99c937be11a5038c6296e01b98a9c226d0019a54058814d2be3332cdcaf,true,
Supplementary Table S6,supplementary_table,supplementary_tables/Supplementary_Table_S6__phase1_six_gene_coefficients.csv,present,26b657df9184befbd2355e09a7bcee17bc3e0bf29e3678068093f77720e5e684,true,
Supplementary Table S6,supplementary_table,supplementary_tables/Supplementary_Table_S6_part1.csv,present,26b657df9184befbd2355e09a7bcee17bc3e0bf29e3678068093f77720e5e684,true,
Supplementary Table S6,supplementary_table,supplementary_tables/Supplementary_Table_S6_part2.txt,present,4aeda99c937be11a5038c6296e01b98a9c226d0019a54058814d2be3332cdcaf,true,
Supplementary Table S7,supplementary_table,supplementary_tables/Supplementary_Table_S7__phase2_multivariable_cox_models.csv,present,10db115239f56be7829c72beeaca9e8893032747e7e22a8c764869c74165a917,true,
Supplementary Table S7,supplementary_table,supplementary_tables/Supplementary_Table_S7__phase2_univariate_clinical_cox.csv,present,851121282a5a62df106fa5349b4b8aba0e48e1fccf7bcaa4986859f8e730d9fd,true,
Supplementary Table S7,supplementary_table,supplementary_tables/Supplementary_Table_S7_part1.csv,present,10db115239f56be7829c72beeaca9e8893032747e7e22a8c764869c74165a917,true,
Supplementary Table S7,supplementary_table,supplementary_tables/Supplementary_Table_S7_part2.csv,present,851121282a5a62df106fa5349b4b8aba0e48e1fccf7bcaa4986859f8e730d9fd,true,
Supplementary Table S8,supplementary_table,supplementary_tables/Supplementary_Table_S8.csv,present,e0411aeafd675ee9fbdc6fe3fde0ca1716f285bc06d9118091fcbfef3ed1c8e1,true,
Supplementary Table S8,supplementary_table,supplementary_tables/Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,present,e0411aeafd675ee9fbdc6fe3fde0ca1716f285bc06d9118091fcbfef3ed1c8e1,true,
Supplementary Table S9,supplementary_table,supplementary_tables/Supplementary_Table_S9.csv,present,c114ce0cef45057d041202cef41bc98aa3166d5cca93551765274fda0bc5d7d7,true,
Supplementary Table S9,supplementary_table,supplementary_tables/Supplementary_Table_S9__phase3B_fix_SHAP_or_importance_top_features.csv,present,c114ce0cef45057d041202cef41bc98aa3166d5cca93551765274fda0bc5d7d7,true,
