planned_combination_id,algorithm,package,package_available,package_note,feature_strategy,planned_gene_count,planned_genes,feature_set_available
M035,Random Survival Forest,randomForestSRC_or_ranger,TRUE,randomForestSRC used,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
M036,Ridge-Cox,glmnet,TRUE,primary package available,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
M037,Stepwise Cox,MASS,TRUE,primary package available,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
M038,SuperPC,superpc,TRUE,primary package available,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
M039,Survival-SVM,survivalsvm,TRUE,primary package available,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
M040,plsRcox,plsRcox,FALSE,package unavailable: plsRcox,FS04_unicox_top30,30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,TRUE
M041,CoxBoost,CoxBoost,TRUE,primary package available,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M042,Elastic Net-Cox,glmnet,TRUE,primary package available,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M043,GBM-Cox,gbm,TRUE,primary package available,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M044,LASSO-Cox,glmnet,TRUE,primary package available,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M045,Random Survival Forest,randomForestSRC_or_ranger,TRUE,randomForestSRC used,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M046,Ridge-Cox,glmnet,TRUE,primary package available,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M047,Stepwise Cox,MASS,TRUE,primary package available,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M048,SuperPC,superpc,TRUE,primary package available,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M049,Survival-SVM,survivalsvm,TRUE,primary package available,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M050,plsRcox,plsRcox,FALSE,package unavailable: plsRcox,FS05_unicox_top25,25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,TRUE
M051,CoxBoost,CoxBoost,TRUE,primary package available,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
M052,Elastic Net-Cox,glmnet,TRUE,primary package available,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
M053,GBM-Cox,gbm,TRUE,primary package available,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
M054,LASSO-Cox,glmnet,TRUE,primary package available,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
M055,Random Survival Forest,randomForestSRC_or_ranger,TRUE,randomForestSRC used,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
M056,Ridge-Cox,glmnet,TRUE,primary package available,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
