planned_combination_id,algorithm,feature_strategy,actual_genes,gene_count,converged,failure_reason,TCGA_C_index,TCGA_AUC_1year,TCGA_AUC_3year,TCGA_AUC_5year,TCGA_IBS,GSE37642_C_index,GSE37642_AUC_1year,GSE37642_AUC_3year,GSE37642_AUC_5year,GSE37642_HR,GSE37642_P_value,GSE12417_C_index,GSE12417_AUC_1year,GSE12417_AUC_3year,GSE12417_AUC_5year,GSE12417_HR,GSE12417_P_value,combined_GPL570_C_index,combined_GPL570_AUC_1year,combined_GPL570_AUC_3year,combined_GPL570_AUC_5year,combined_GPL570_HR,combined_GPL570_P_value,all_external_HR_direction_consistent,external_at_least_one_significant,combined_GPL570_significant
M039,Survival-SVM,FS04_unicox_top30,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9;KIAA0513;PRKCD;PI4K2A;EPB41L3;HOXB7,30,TRUE,"",0.361783126611814,0.28177313698562,0.306020113844281,0.195746504813253,0.353240795490481,0.426799312208303,0.413453092572844,0.407712631045506,0.438571263042103,0.999071706266237,0.0712300417334628,0.432048681541582,0.454221242986379,0.359536724549111,0.378951427435472,0.999225886374632,0.224558409584077,0.427255985267035,0.427654292257914,0.392016041900212,0.438803781704885,0.999131935374665,0.0289425527426364,FALSE,FALSE,TRUE
M041,CoxBoost,FS05_unicox_top25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,25,TRUE,"",0.66461991894879,0.750836309313838,0.715935327346258,0.83638598884192,0.22642283165172,0.591623679685581,0.619711643693485,0.660290154929568,0.597991047026657,2.15048864630232,0.00537170507876361,0.612981744421907,0.629254746262019,0.683341159453143,0.534915654086678,2.23108779526943,0.0280519787730171,0.600317167996726,0.62201976500581,0.668044523256708,0.596667834513395,2.18850916140438,0.000349908502178203,TRUE,TRUE,TRUE
M042,Elastic Net-Cox,FS05_unicox_top25,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.665970772442589,0.751584588444796,0.715589811654176,0.831526218714705,0.226418640255669,0.592483419307296,0.619261597180054,0.661619936584742,0.598355043414227,2.34756383497988,0.00522821677664188,0.614604462474645,0.631455480745483,0.687700038321001,0.532079897587498,2.42493611345925,0.0283531801693815,0.601903007980356,0.623217277552071,0.67029102988723,0.597634278018824,2.38597351838393,0.000343996234798465,TRUE,TRUE,TRUE
M043,GBM-Cox,FS05_unicox_top25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,25,TRUE,"",0.924597814073437,0.984758037094916,0.984309892566779,0.998348146366259,0.169312210465161,0.557111274871039,0.599612141467014,0.604963226029115,0.551570685380325,1.13226619878077,0.177827249544818,0.679107505070994,0.735061443182773,0.74959454531015,0.691188763723037,1.62792382108673,0.000235217378489744,0.600982197667281,0.647454133316132,0.649939067047591,0.56562206405437,1.27466102710255,0.00120656147512116,TRUE,TRUE,TRUE
M044,LASSO-Cox,FS05_unicox_top25,CLCN5;ITGB2;ARHGEF5;TRIM32;SAT1;ACOX2,6,TRUE,"",0.665233943264153,0.750683679328624,0.717553953073557,0.835707149463364,0.226380268506609,0.593711618766888,0.621953129709244,0.666099530680701,0.601440541876128,2.27228238589319,0.00479686046297661,0.612170385395538,0.628602928258432,0.68458994601905,0.527437240843836,2.34544982031256,0.0280804172961048,0.60134029056681,0.622767881761464,0.671716016197277,0.600315310743713,2.30817939083723,0.000314174130418253,TRUE,TRUE,TRUE
M045,Random Survival Forest,FS05_unicox_top25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,25,TRUE,"",0.846739530885423,0.955306721337418,0.928104948247648,0.949248667118338,0.177561084513627,0.570007369196758,0.588347385032595,0.66231525750769,0.608281683104307,1.01888298360287,0.0368647574711977,0.628397565922921,0.636042819689996,0.731290677510662,0.601687146515847,1.02858848983916,0.0154522572274127,0.593820339676693,0.608714226633855,0.68467761577889,0.600222704913594,1.02299529579034,0.00129181945343351,TRUE,TRUE,TRUE
M046,Ridge-Cox,FS05_unicox_top25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,25,TRUE,"",0.645953579761759,0.725457203228075,0.701724881123691,0.832043336402253,0.233525759355977,0.574183247359371,0.591902384404666,0.596744723999304,0.558579111338409,2.5357833697816,0.0476317676547035,0.579310344827586,0.558606331631081,0.655454574193544,0.546955645110834,2.131088386836,0.190643297982848,0.576938817270309,0.580269282446141,0.614951562072993,0.560373431254185,2.36590362962033,0.0172520614710092,TRUE,TRUE,TRUE
M047,Stepwise Cox,FS05_unicox_top25,CLCN5;ITGB2;ARHGEF5;SAT1;FGR;ACOX2,6,TRUE,"",0.68033894142208,0.75929098752861,0.715117250160327,0.779947782934799,0.232055081625075,0.551338737410956,0.54732762606277,0.629786508388935,0.583836429790084,1.34760212342948,0.100914375112845,0.57525354969574,0.560622893579678,0.683499686569685,0.572434308667618,1.37376436186469,0.21409385258895,0.56256394516063,0.554894089630596,0.646503179988975,0.581210665886158,1.36426399819775,0.0360893668792876,TRUE,FALSE,TRUE
M048,SuperPC,FS05_unicox_top25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,25,TRUE,"",0.621515412010316,0.684783372941484,0.671609902398018,0.764821741068997,0.245593590912202,0.584008843036109,0.603185399265129,0.598706396067239,0.568945686308986,1.38423618128012,0.0668878895305867,0.580121703853956,0.585734861144942,0.657726847600388,0.570047357321687,1.25056110850092,0.303597599416557,0.582463679148762,0.593976371880863,0.614383742383174,0.569674232915969,1.32770979876752,0.0375234048048573,TRUE,FALSE,TRUE
M049,Survival-SVM,FS05_unicox_top25,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM;MYOF;SLC16A3;CCL22;TNFSF12-TNFSF13;NEDD9,25,TRUE,"",0.357484956404274,0.277871097141906,0.304899712162335,0.188116868179654,0.354096562091591,0.423605993613363,0.406066666360537,0.399349779383456,0.433238228089742,0.998895854959853,0.0442805626034297,0.430425963488844,0.449868151136905,0.350951124146934,0.36481952828605,0.999116936314135,0.189618201055437,0.422958870472683,0.419497834161613,0.382253774969249,0.431419882847995,0.998984818190213,0.0161280932181542,FALSE,TRUE,TRUE
