module_color,gene_symbol,GS_PRFT,GS_PRFT_P,MM,MM_P,logFC,P.Value,adj.P.Val,module_cor_with_PRFT,module_P,module_FDR,selection_type
blue,CD300LB,0.347542040761746,2.80047136097668e-06,0.812204765387204,7.08937258420688e-42,1.23734616412726,0.000374728728725805,0.00442250381789,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,RASL11A,0.347459190992727,2.8168136219335e-06,0.433145534588613,2.64572298654652e-09,0.637474004276942,0.00108794537039381,0.0095519979721516,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,MEFV,0.347246620361309,2.85915945058608e-06,0.908949875969413,7.11473633567354e-67,1.71414323710239,4.49015284928481e-05,0.000996729212676147,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,HSD3B7,0.345773840116616,3.1696150076319e-06,0.467153598553832,9.22380362912422e-11,0.747278080727088,0.000720303193812378,0.0070841104076929,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
red,WNT6,0.345709204264903,3.18394867904719e-06,0.35044036386034,2.28231855388726e-06,0.859835538626042,0.000664403690724377,0.0066885655220308,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,C19orf59,0.345697996459016,3.18644038700512e-06,0.76081308777905,6.19802599072859e-34,1.20734983961509,0.00016439055378755,0.00245205054239053,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,TTC12,0.345689779712798,3.18826830320982e-06,0.344709127458357,3.4137328482628e-06,1.08107094359798,0.000138710041735715,0.00219787695760362,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,FCGR2A,0.345620154603164,3.20379732612151e-06,0.77532523822781,5.81871992374514e-36,1.08825227211977,9.54127334627349e-05,0.00169438612707785,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,TAGLN,0.345495532767202,3.23177238488885e-06,0.663600065856228,2.54465703022897e-23,0.525650614808891,0.000522912405339372,0.00561511872111143,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,FLJ45445,0.344990297930008,3.34758432693107e-06,0.591787571746085,1.00011430755693e-17,0.723851844426631,0.00104478374876084,0.00929442782924103,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
tan,C1orf106,0.344639960884073,3.4301944291364e-06,0.486761857155271,1.11855166250019e-11,1.21197169206095,0.000399815058938058,0.00460876832176975,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
blue,C1orf115,0.344546940822963,3.45245210832292e-06,0.303987489204662,4.78289844770488e-05,1.07908631381984,8.09295612317254e-06,0.000310268444119348,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,COL4A5,0.344300493002929,3.51208720084889e-06,0.578569258206354,7.64239043891156e-17,2.18571245656243,0.000952097081867398,0.00865810409133909,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
magenta,ABCA5,0.344076430230322,3.56715407501107e-06,0.514262677764742,4.58593483862293e-13,0.819964955894157,0.00107459327522797,0.00948787233250065,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
tan,ROGDI,0.343739618406497,3.65147687596357e-06,0.4023214614666,4.08820007373615e-08,0.797296431435459,0.000484512967201426,0.00533360941204657,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
blue,CDH23,0.343700693878414,3.66134305568212e-06,0.707162291261166,1.54496235030698e-27,0.890310197808082,8.34854759012612e-05,0.0015407162729072,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,FAM83A,0.343683204075532,3.66578443005744e-06,0.568488394517835,3.39223272329541e-16,1.15595751136061,0.000877286767668553,0.00813099267089751,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
blue,ANKRD22,0.34359502751881,3.68825412990753e-06,0.40156519681272,4.35734947177112e-08,0.948257297514042,0.00205661597716413,0.0149878974657907,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,GNS,0.3435386750456,3.70268269626063e-06,0.782175740630068,5.67908217072863e-37,0.565620342154523,1.38179608301793e-05,0.000444631272935548,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,MFSD2A,0.343105856396763,3.81530375699579e-06,0.652984971122197,2.12989830496704e-22,0.843795602780018,0.000906327501156785,0.00832229701550016,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,FKBP9,0.34281904648072,3.89171749579596e-06,0.358224752786244,1.30412885801807e-06,0.772530045442409,6.69450888920849e-06,0.000275662070272896,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
magenta,MPV17L,0.342498203045045,3.97892111338758e-06,0.768239487445102,5.93224886743656e-35,1.55218225073511,5.66929934823159e-06,0.000253487245818772,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
blue,BATF2,0.342426781872072,3.99858403236655e-06,0.471211648710385,6.02592154884919e-11,0.836625461106666,0.000164345229446731,0.00245205054239053,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,CPE,0.342381353853542,4.01113878135284e-06,0.353187242213366,1.87648808939489e-06,0.922165904838281,8.04092055723665e-05,0.00150909559889753,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,TMEM105,0.341623697435553,4.22613027871459e-06,0.541246842269964,1.49152884453641e-14,1.73336905907512,2.5970305655874e-05,0.000688543290606136,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,SESN2,0.341514169741661,4.25810063053952e-06,0.496876674816989,3.57090945137074e-12,0.549973670141689,3.61651023149106e-05,0.000860647137769757,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,SMPDL3A,0.341318349801405,4.31583229763146e-06,0.690256951116091,8.19732866763529e-26,1.25462063619354,0.000722529012417469,0.00709488061019637,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
tan,PIWIL4,0.341188193287249,4.35461546525382e-06,0.686765990573292,1.79974057789717e-25,0.684120930232574,0.000832483785294425,0.00784318056775889,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
blue,ARHGAP24,0.34073486908936,4.49229381940963e-06,0.757650866342605,1.64050900134281e-33,0.997137797380391,0.000262002715864728,0.00341074628176877,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,AGTRAP,0.34063812229644,4.5222070527185e-06,0.714239950163386,2.6905228309632e-28,0.664855760491866,0.000179337386299545,0.00261086385127814,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
