gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation,ranking_metric,neg_log10_adjP
LYPLA2,0.125579724672566,9.32101676300578,1.66472801795208,0.0977750388667344,0.224453333125294,-4.97054187453453,Not_significant,1.0097720027386,0.648873940954356
LOC285780,0.395925648222407,2.68717572254335,1.66442339001303,0.0978359538782993,0.224499697140083,-4.97102726355394,Not_significant,1.00950151636285,0.648784240542527
PCDHA9,0.242701015771186,0.456863583815029,1.66442047320632,0.0978365372861751,0.224499697140083,-4.97103191072917,Not_significant,1.00949892661894,0.648784240542527
MC1R,-0.247223148890662,5.85758786127168,-1.66438931333693,0.0978427699321284,0.224499697140083,-4.97108155541035,Not_significant,-1.00947126090625,0.648784240542527
LOC91948,0.381178053996262,2.0591,1.66435773027561,0.0978490875521406,0.224499697140083,-4.9711318734139,Not_significant,1.00944321980586,0.648784240542527
LIMS1,-0.186629911788275,9.74884797687861,-1.66432883944996,0.0978548669270283,0.224499697140083,-4.97117790134961,Not_significant,-1.00941756932138,0.648784240542527
APOOL,-0.122777906976728,8.01533410404624,-1.66396477940673,0.0979277177584464,0.224617533847827,-4.97175784387669,Not_significant,-1.00909436676894,0.648556345331289
NHLH1,0.223066613205034,4.23658265895954,1.66395290533178,0.097930094575495,0.224617533847827,-4.97177675704402,Not_significant,1.00908382607601,0.648556345331289
GPR158,0.191361855118953,0.206452601156069,1.66381554259229,0.0979575936635642,0.224653233811274,-4.9719955405509,Not_significant,1.00896189189636,0.648487325496135
RCAN1,0.255539815557356,8.11014450867052,1.66361950090581,0.0979968506559799,0.224715887044484,-4.97230775425844,Not_significant,1.00878788109023,0.648366222588214
GPR55,0.284327746591834,5.97027167630058,1.66306167604238,0.0981086234366051,0.224927963187867,-4.9731959449071,Not_significant,1.00829281783579,0.647956549440915
INPP5K,0.108772467254767,9.15739595375723,1.66303868002081,0.098113233411367,0.224927963187867,-4.97323255389032,Not_significant,1.00827241147909,0.647956549440915
GPSM3,0.166845268644771,10.9140664739884,1.66277056730972,0.0981669944084178,0.225023806958604,-4.97365934521783,Not_significant,1.00803450565227,0.647771532182856
TTC31,-0.0853763833199519,9.78801040462428,-1.66257307775966,0.0982066094812295,0.225078481810458,-4.97397367350932,Not_significant,-1.00785928243066,0.647666022892331
MRPL19,-0.126992689120529,10.0711005780347,-1.66253245170789,0.0982147603905174,0.225078481810458,-4.97403833026059,Not_significant,-1.00782323854266,0.647666022892331
LCP2,0.120023616680051,11.3281040462428,1.6619527740742,0.0983311219874483,0.225317656822537,-4.97496072625584,Not_significant,1.00730900537995,0.64720477383263
SFRS12,-0.124214407912298,11.486687283237,-1.66189330552959,0.0983430656849745,0.225317656822537,-4.97505533632954,Not_significant,-1.00725625741137,0.64720477383263
ADIPOR2,0.0919395482491545,10.7507947976879,1.66173347457317,0.0983751720198772,0.225363787039329,-4.97530959937442,Not_significant,1.00711449522024,0.647115868025901
PCYT1B,0.524289681903242,4.28145780346821,1.66127219122734,0.0984678805049585,0.225500771027277,-4.97604328765819,Not_significant,1.00670541005359,0.64685196885334
LRRC17,0.31236090617483,4.44768439306358,1.66126491332734,0.098469343777208,0.225500771027277,-4.97605486184893,Not_significant,1.00669895631112,0.64685196885334
PTGS1,0.275192542101058,9.91234046242775,1.66125714249965,0.0984709061753197,0.225500771027277,-4.97606721989834,Not_significant,1.00669206548125,0.64685196885334
CENPV,-0.312983801122686,6.68199421965318,-1.6610943188677,0.0985036479931856,0.225528897561992,-4.97632614759587,Not_significant,-1.00654768550266,0.646797803020411
GLMN,-0.145217401764218,7.92258554913295,-1.66107690502391,0.0985071502207129,0.225528897561992,-4.97635383823107,Not_significant,-1.00653224474404,0.646797803020411
