feature_set,interpretation_class,algorithm,rank,gene_symbol,importance,mean_abs_shap,importance_sd,explanation_method
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,9,ACOX2,0.00112269446672019,,0.00036303214447942,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,9,BCL2L11,0.0877578963829754,0.0877578963829754,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,10,SLC8A1,0.000935578722266839,,0.000339293108164658,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,10,SAT1,0.0815602133556597,0.0815602133556597,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,11,ITGAM,0.00069500133654109,,0.000197237312850201,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,11,HOXB6,0.0800775655550678,0.0800775655550678,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,12,SAT1,0.000654905105586789,,0.000305103691851806,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,12,ITGB2,0.079709530727281,0.079709530727281,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,13,PMM1,0.000561347233360132,,0.000466408351717091,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,13,ACOX2,0.0777600840100147,0.0777600840100147,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,14,HOXB6,0.000427693130179163,,0.000242385645705003,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,14,THBS1,0.0722519776870017,0.0722519776870017,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,15,THBS1,0.000360866078588673,,0.000236164274805298,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,15,SLC8A1,0.0715061176778221,0.0715061176778221,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,16,FTH1,0.000307404437316261,,0.000199737251817334,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,16,PMM1,0.0703158805475199,0.0703158805475199,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,17,MYOF,0.000280673616680094,,0.000171970587771734,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,17,HOXB5,0.0690593701071305,0.0690593701071305,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,18,KCNE1,0.000280673616680083,,0.000239502451318109,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,18,FTH1,0.0249831411675308,0.0249831411675308,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,19,HOXB5,0.000253942796043893,,0.000160013231721199,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,19,MYOF,0.019188028483011,0.019188028483011,,xgboost_predcontrib_SHAP
FS-C_phase3A_recurrence_top20,independent-like,Random Forest,20,MYO7A,0.000240577385725793,,0.000326169566385522,permutation_importance_fallback
FS-C_phase3A_recurrence_top20,independent-like,XGBoost,20,FGR,0.0188039682154151,0.0188039682154151,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,1,AIM2,0.0027532745255279,,0.000982557159553801,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,1,AIM2,0.677498602539818,0.677498602539818,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,2,CLCN5,0.000695001336541001,,0.000416977954443468,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,2,CLCN5,0.289375606536693,0.289375606536693,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,3,HOXB7,0.000481154771451442,,0.000309944348764616,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,3,TRIM32,0.251371740775366,0.251371740775366,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,4,FGR,0.000441058540497163,,0.000110033761340341,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,4,HOXB7,0.240792568396196,0.240792568396196,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,5,TRIM32,0.000441058540497152,,0.000167290237507958,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,5,PI4K2A,0.220106268557316,0.220106268557316,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,6,SLC16A3,0.000400962309542885,,0.000166695954146555,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,6,MYO7A,0.218410709679041,0.218410709679041,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,7,ARHGEF5,0.000360866078588584,,0.0003024903358597,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,7,ARHGEF5,0.190756946775222,0.190756946775222,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,8,CCL22,0.000280673616680005,,0.000239502451318093,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,8,SEL1L3,0.182820794040693,0.182820794040693,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,9,NINJ1,0.000173750334135203,,9.02096441740912e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,9,CTSD,0.137725648590003,0.137725648590003,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,10,VDR,0.000160384923817125,,0.000186903474680575,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,10,EPB41L3,0.122492014710398,0.122492014710398,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,11,ITGB2,0.000120288692862802,,4.22651384678772e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,11,VDR,0.104976958404107,0.104976958404107,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,12,SLC8A1,0.000120288692862802,,4.22651384678772e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,12,TNFSF12-TNFSF13,0.103601161229042,0.103601161229042,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,13,ACOX2,0.000106923282544724,,8.45302769357778e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,13,PRKCD,0.101167638097066,0.101167638097066,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,14,PMM1,8.01924619085459e-05,,0.000129122130857948,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,14,ITGB2,0.086175463065462,0.086175463065462,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,15,PI4K2A,6.68270515904457e-05,,0.000144362930999003,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,15,SAT1,0.0651701971124104,0.0651701971124104,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,16,EPB41L3,5.34616412723565e-05,,6.90186821029173e-05,permutation_importance_fallback
