gene_symbol,module_color
ARHGEF11,blue
MS4A7,blue
ICA1,magenta
SEMA6B,red
ANKRD5,magenta
CD68,red
RNASE4,blue
UACA,magenta
HES4,magenta
NR4A2,blue
MFSD2A,blue
RASSF8,magenta
CD163L1,blue
CXCR2,blue
ABI3,blue
PDE2A,blue
THBD,blue
JUN,red
FCGR1B,blue
PLK2,blue
POU2F2,blue
LONRF3,red
SLC5A9,magenta
C1orf127,red
UTF1,red
ASGR1,blue
ANXA2P2,blue
SLC1A3,blue
ACCN2,tan
SLITRK4,magenta
DMXL2,tan
MTSS1,blue
LAMB3,red
ETV7,blue
ARHGAP31,blue
CCDC113,magenta
LOC344595,magenta
HBEGF,blue
SDC4,red
GNGT2,blue
PHLDA3,red
LYNX1,blue
FLJ45445,blue
NR1I2,tan
KCNH3,blue
TNFSF15,blue
CRYBG3,blue
CRTAM,blue
GPR88,tan
C1orf115,blue
GRN,red
DDAH1,magenta
CDH23,blue
RASGEF1B,blue
FCGR1A,blue
BEGAIN,red
P2RY6,blue
MFSD7,blue
TUBA4A,blue
ADAM8,red
RPGRIP1,blue
KIAA0513,blue
PRSS12,tan
HOMER3,tan
DPYSL2,blue
SCG2,magenta
GAS2L1,red
WNT5B,blue
FAM129B,blue
ZMYND15,blue
FAM127A,red
LOC348840,red
LOC644538,tan
FAM59A,tan
LOC389634,blue
ADCY1,magenta
CDK20,red
ANKRD55,blue
CDKN1A,red
SLC2A6,blue
SIGLEC10,blue
SNX25,blue
GPR65,blue
NACC2,blue
SRGN,tan
PDE7B,blue
OGDHL,tan
TCN2,red
ITGAX,blue
TMEM169,blue
TICAM2,blue
NRGN,blue
CAMK1,blue
AIM2,blue
KNDC1,blue
MARCH1,blue
OTOA,blue
PLA2G4C,blue
PPIC,magenta
LGALS1,red
SLC7A11,magenta
WSCD1,red
EEF1DP3,blue
ANXA8L2,tan
TNFAIP2,blue
PILRA,blue
DOK2,blue
CTSS,blue
TPRG1,blue
OSCAR,red
ANXA2P1,blue
TKTL2,blue
RAB17,blue
MOCOS,magenta
MAP1LC3A,red
DUSP6,blue
GALM,blue
C17orf96,magenta
WNT10B,red
KYNU,blue
USP44,magenta
P2RY12,blue
RHOB,red
KCNK13,blue
SLC26A9,tan
KRT23,blue
SNX24,blue
IQSEC2,red
MYO1C,red
ASB2,blue
DLEU7,blue
CSPG4,red
EPB41L5,magenta
HFE,blue
CCL22,blue
SEC16B,tan
TYROBP,red
LOC151009,magenta
ANKRD57,blue
DES,blue
NRBP2,red
PRKCA,blue
GPR153,tan
PLCD3,red
JAG1,tan
C10orf41,red
PCDH9,magenta
NHSL2,blue
GPR162,red
PRKAR2B,blue
ABCC6,tan
ATOH8,blue
SRC,blue
CCDC149,red
ID2,blue
HMGN5,magenta
ECHDC2,red
CACNA1F,red
ECHDC3,blue
SPR,magenta
SPATA6,magenta
JAZF1,blue
C1orf53,tan
BCL2A1,blue
GRIN2D,red
LFNG,blue
CFP,red
FAM27A,red
LOC100131726,magenta
HSD3B7,red
MPP7,blue
SHISA4,blue
MLXIPL,red
PTPRJ,blue
GPR109B,tan
DNAJC5B,blue
EFEMP2,red
ZNF385A,blue
IL17RA,blue
CEBPB,red
PLEKHN1,red
CLEC3B,red
GIMAP1,blue
ANG,blue
